controller,condition_id,seed,validation_subject_count,validation_case_count,latent_bis_mae,time_in_40_60_fraction,time_below_40_fraction,time_above_60_fraction,cumulative_reward,total_propofol_mg,action_sd,action_boundary_fraction,core_clip_fraction
PI,G50_A20_S0,deterministic,24,24,12.105024785112365,0.6486111111111111,0.020833333333333332,0.33055555555555555,11.811285770149894,100.60092680053397,0.18136708181053973,0.002777777777777778,0.0
constant,Goff_A30_S1,deterministic,24,24,12.603158948760138,0.5972222222222222,0.11388888888888889,0.28888888888888886,9.916741683495916,120.0,0.0,0.0,0.0
P,Goff_A30_S1,deterministic,24,24,11.857774052067775,0.6590277777777778,0.06180555555555556,0.2791666666666666,10.212672869502486,114.07561183484115,0.27895186059839006,0.0,0.0
PI,Goff_A30_S1,deterministic,24,24,11.896540637369272,0.6506944444444444,0.02708333333333333,0.3222222222222222,12.13685255220251,101.36113480972563,0.28570183207330624,0.0,0.0
constant,Goff_A20_S1,deterministic,24,24,12.603158948760138,0.5972222222222222,0.11388888888888889,0.28888888888888886,9.916741683495916,120.0,0.0,0.0,0.0
P,Goff_A20_S1,deterministic,24,24,11.857774052067775,0.6590277777777778,0.06180555555555556,0.2791666666666666,10.212672869502486,114.07561183484115,0.27895186059839006,0.0,0.0
PI,Goff_A20_S1,deterministic,24,24,11.896540637369272,0.6506944444444444,0.02708333333333333,0.3222222222222222,12.13685255220251,101.36113480972563,0.28570183207330624,0.0,0.0
constant,G50_A30_S1,deterministic,24,24,12.603158948760138,0.5972222222222222,0.11388888888888889,0.28888888888888886,9.916741683495916,120.0,0.0,0.0,0.0
P,G50_A30_S1,deterministic,24,24,12.17477341032005,0.6437499999999999,0.07013888888888889,0.2861111111111111,10.169394122523462,114.67177205424134,0.18721947482569964,0.0062499999999999995,0.0
PI,G50_A30_S1,deterministic,24,24,12.099811448729191,0.6486111111111111,0.020833333333333332,0.33055555555555555,11.839061546706175,100.55319172537808,0.18156986721027205,0.002777777777777778,0.0
constant,G50_A20_S1,deterministic,24,24,12.603158948760138,0.5972222222222222,0.11388888888888889,0.28888888888888886,9.916741683495916,120.0,0.0,0.0,0.0
P,G50_A20_S1,deterministic,24,24,12.177562269173459,0.6430555555555556,0.07083333333333333,0.2861111111111111,10.167085243108462,114.70241691311821,0.1871927032153584,0.0062499999999999995,0.0
PI,G50_A20_S1,deterministic,24,24,12.105024785112365,0.6486111111111111,0.020833333333333332,0.33055555555555555,11.811285770149894,100.60092680053397,0.18136708181053973,0.002777777777777778,0.0
