delta,favorable,favorable_seed_count,maximum_absolute_discrepancy,metric,row_type,seed,seed_sd,seed_values,state
-0.0006107100400053912,,,0.00458938992986355,consecutive_action_variation,summary,mean,0.0034994124601840228,"[0.0012477254893915185, 0.004395505371789693, -0.002540145346849765, -0.00458938992986355, -0.0015672457844948529]",S0
-0.07348709292098503,,3,0.6213076830623989,mae_0_1800,summary,mean,0.33541055286767135,"[0.07990900828628256, -0.09299183000827149, -0.008497928853589798, -0.6213076830623989, 0.2754529690330525]",S_PROP
0.003819444444444442,,3,0.01967592592592593,time_in_40_60_fraction,summary,mean,0.009620764148180977,"[-0.00520833333333337, 0.004861111111111094, 0.0015046296296294948, 0.01967592592592593, -0.0017361111111109384]",S_PROP
1.5888110268240212,,,5.196125527843833,total_propofol_mg,summary,mean,2.7468118663338252,"[-1.625955077198654, 5.196125527843833, 2.643342752630531, 2.3938986345504816, -0.6633567037060857]",S_PROP
0.15919783649310554,,,0.8278618474045224,consecutive_action_variation,summary,mean,0.3750741794478322,"[-0.05859659701148724, 0.8278618474045224, 0.0009791626346954824, 0.02554442419096466, 0.00020034524683235078]",S_PROP
-0.6487142025946282,,3,4.100348685129853,mae_0_1800,summary,mean,2.659013341153083,"[-0.054419639657965035, -2.5061931971843965, -4.100348685129853, 2.5600043208854792, 0.857386188113594]",S_REMI
0.05037037037037038,,3,0.2173032407407407,time_in_40_60_fraction,summary,mean,0.1276610900161308,"[0.008738425925925886, 0.15075231481481488, 0.2173032407407407, -0.06730324074074068, -0.057638888888888906]",S_REMI
12.306455751555035,,,42.00693623737121,total_propofol_mg,summary,mean,26.10898937549628,"[-4.745288158146053, 42.00693623737121, 32.99767726426944, -21.24448509925668, 12.517438513537257]",S_REMI
0.002902271436072982,,,0.007088061871294982,consecutive_action_variation,summary,mean,0.0032944942859239883,"[0.0047279866585712566, 0.007088061871294982, -0.0012105181856597695, 0.0005667148404225747, 0.0033391119957358675]",S_REMI
-1.3642100469270433,,3,5.816795253790456,mae_0_1800,summary,mean,2.573680237657131,"[0.06163948873588865, 0.3555152346509809, -1.3530306326622723, -5.816795253790456, -0.06837907156935774]",S_CP
0.09663194444444448,,4,0.3693865740740741,time_in_40_60_fraction,summary,mean,0.15703227848331375,"[-0.0014467592592591894, 0.006018518518518645, 0.09253472222222225, 0.3693865740740741, 0.016666666666666607]",S_CP
9.073988627176737,,,55.67470946488902,total_propofol_mg,summary,mean,32.31706322698279,"[-3.072582588841499, 12.56313476121673, -33.62931469672668, 55.67470946488902, 13.833996195346117]",S_CP
0.002590510087500517,,,0.006047078207121331,consecutive_action_variation,summary,mean,0.0036799299897307966,"[0.006047078207121331, 0.003464811628951483, -0.0013572046606067784, -0.0011925445713477402, 0.005990409833384291]",S_CP
-0.13070597798447894,,4,0.32687122625529463,mae_0_1800,summary,mean,0.19399568131187891,"[-0.2180156688106818, -0.04176807070435018, 0.1635412563225418, -0.23041618047460988, -0.32687122625529463]",S_CE
0.006226851851851856,,5,0.008912037037037135,time_in_40_60_fraction,summary,mean,0.002429039430135922,"[0.008912037037037135, 0.004224537037036957, 0.003182870370370461, 0.0078125, 0.007002314814814725]",S_CE
6.157694011119503,,,12.963941971460969,total_propofol_mg,summary,mean,4.391029196598653,"[2.8926672134548426, 2.3562762569636106, 4.60634794862321, 7.969236665094883, 12.963941971460969]",S_CE
0.008012196716108465,,,0.013966820655421836,consecutive_action_variation,summary,mean,0.004863659214916924,"[0.004553467786248273, 0.0017000960387303365, 0.013966820655421836, 0.010115291800148769, 0.00972530729999311]",S_CE
0.013901720715876476,,4,0.21569202206787708,mae_0_1800,summary,mean,0.11515039338414203,"[-0.02603339725355447, -0.004496024959836031, 0.21569202206787708, -0.05090537417815977, -0.06474862209694443]",S_CONC
0.0023263888888889195,,4,0.006134259259259034,time_in_40_60_fraction,summary,mean,0.004892254459798274,"[0.003356481481481488, 0.005381944444444398, -0.006134259259259034, 0.003067129629629517, 0.005960648148148229]",S_CONC
-0.6317215581734956,,,2.9437201426675017,total_propofol_mg,summary,mean,2.333742389852192,"[-1.1354423432300393, 1.9671073614930208, -2.6922518514717524, 1.6456991850087945, -2.9437201426675017]",S_CONC
0.0016334271304711712,,,0.012558623621139665,consecutive_action_variation,summary,mean,0.00858307523879458,"[-0.012558623621139665, 0.009971897683177466, 0.0007310528793758944, 0.004791646567997097, 0.005231162142945063]",S_CONC
