action_boundary_fraction,action_sd,case_count,consecutive_action_variation,core_clip_fraction,cumulative_reward,mae_0_1800,mae_0_600,mae_600_1800,mean_deterministic_action,profile,rmse_0_1800,rmse_0_600,rmse_600_1800,seed,sqi_rejection_fraction,stale_fraction,state,subject_count,time_above_60_fraction,time_below_40_fraction,time_in_40_60_fraction,total_propofol_mg,visible_fraction
0.03072916666666667,0.5764737184585839,96,0.04235527211595569,0.0,101.33897101401253,3.0080748409158997,7.155678348876407,0.9342730869356469,1.1982453605781,P1,8.551613958950194,14.675349366667982,1.313324287005525,49,0.13107638888888887,0.0011574074074074073,S_CONC,96,0.0699074074074074,0.0,0.9300925925925926,215.68416490405798,0.41290509259259256
0.01539351851851852,0.46690672384660187,96,0.02316913835780636,0.0,56.69050481268101,6.990420662570674,12.548693749801517,4.211284118955252,1.3364791514748637,P0,11.927224408632553,18.980776493776563,4.865005665413126,50,0.0,0.0010416666666666667,S0,96,0.11412037037037037,0.0958912037037037,0.7899884259259259,240.56624726547548,0.5440972222222222
0.0026041666666666665,0.2542408403636334,96,0.020628993010956595,0.0,56.23281871851958,6.68828625499782,14.93611954589428,2.56436960954959,1.121788702825843,P1,12.138326246933758,20.487776215192643,3.030503230758795,50,0.13107638888888887,0.0011574074074074073,S0,96,0.1626736111111111,0.000462962962962963,0.8368634259259258,201.92196650865176,0.41290509259259256
0.026504629629629628,0.48273344458181616,96,0.037640950233229824,0.0,90.65132015590852,4.071551551361293,9.666638846254527,1.2740079039146763,1.144995870925831,P0,10.011875700242754,17.144754803518495,1.6573642127586516,50,0.0,0.0010416666666666667,S_PROP,96,0.09380787037037037,0.0,0.9061921296296297,206.09925676664957,0.5440972222222222
0.022337962962962962,0.4700238808126615,96,0.038620112867925306,0.0,89.75905936288689,4.063053622507703,9.388898386827531,1.400131240347789,1.159681108440445,P1,9.91797048309319,16.93545871680389,1.837903155830251,50,0.13107638888888887,0.0011574074074074073,S_PROP,96,0.09230324074074074,0.0,0.9076967592592592,208.7425995192801,0.41290509259259256
0.001099537037037037,0.23092927608413458,96,0.017128802052901942,0.0,40.848839851580045,10.366480190160503,21.44955541065907,4.82494257991122,0.9896038543010405,P0,15.230761630141165,24.867193935432454,5.564621933245628,50,0.0,0.0010416666666666667,S_REMI,96,0.3592592592592592,0.0031828703703703706,0.6375578703703704,178.12869377418733,0.5440972222222222
0.008796296296296295,0.29786616414941186,96,0.015918283867242172,0.0,58.72659227698111,6.266131505030651,13.80483838059052,2.496778067250718,1.1729242835469817,P1,11.703704240150905,19.768273920926877,2.94375224030928,50,0.13107638888888887,0.0011574074074074073,S_REMI,96,0.14363425925925924,0.0015046296296296294,0.8548611111111111,211.12637103845677,0.41290509259259256
0.015162037037037038,0.4828592246685759,96,0.021125230332923222,0.0,59.16754021005761,6.9002598295863,12.021619618579303,4.339579935089799,1.3611946037332354,P0,11.576425331807608,18.143443993786445,5.088535229555753,50,0.0,0.0010416666666666667,S_CP,96,0.10445601851851853,0.12077546296296297,0.7747685185185186,245.01502867198238,0.5440972222222222
0.014756944444444442,0.3183980915005828,96,0.019768025672316444,0.0,70.46509683098382,5.547229196924028,13.00997296385877,1.815857313456658,1.1743650776403092,P1,11.34835519077752,19.343135722413294,2.224236284347161,50,0.13107638888888887,0.0011574074074074073,S_CP,96,0.1324074074074074,0.00028935185185185184,0.8673032407407408,211.3857139752557,0.41290509259259256
0.004224537037037037,0.42764860285289125,96,0.02548860152576334,0.0,87.76280339925476,3.9736833436655163,9.207781335206493,1.356634347895028,1.2235181820044225,P0,9.780241965011031,16.7210081539241,1.8121235104355808,50,0.0,0.0010416666666666667,S_CE,96,0.09097222222222223,0.0,0.9090277777777779,220.23327276079604,0.5440972222222222
