actor_tanh_saturation_fraction,diagnostic_action_clip_fraction,finite_input,physical_action_q01,physical_action_q50,physical_action_q99,physical_clipped_action_mean,profile,raw_action_q01,raw_action_q50,raw_action_q99,raw_deterministic_action_mean,scaled_abs_mean_concentration,scaled_abs_mean_cumulative,scaled_abs_mean_recent,scaled_abs_mean_s0,scope,seed,state,step
0.0,0.029861111111111113,True,0.0,1.179018259048462,2.863563299179077,1.18731689453125,P0,-0.694799542427063,1.179018259048462,2.863563299179077,1.1717429161071777,0.5354560017585754,0.0,0.0,0.4544145166873932,final_development,49,S_CONC,524288
0.0,0.030729166666666665,True,0.0,1.1840307712554932,3.1650166511535645,1.1982454061508179,P1,-0.5370329022407532,1.1840307712554932,3.1650166511535645,1.1857914924621582,0.5391920208930969,0.0,0.0,0.40939661860466003,final_development,49,S_CONC,524288
0.0,0.036284722222222225,True,0.0,1.1962077617645264,3.3170204162597656,1.1977070569992065,P0,-1.3071699142456055,1.1962077617645264,3.3170204162597656,1.1653156280517578,0.5387142896652222,0.5646601915359497,0.0,0.4550777077674866,final_development,49,S_CORE,524288
0.0,0.02962962962962963,True,0.0,1.2122174501419067,2.805110454559326,1.2135740518569946,P1,-1.1578350067138672,1.2122174501419067,2.805110454559326,1.187666654586792,0.5415928363800049,0.5641437768936157,0.0,0.4093502163887024,final_development,49,S_CORE,524288
2.7126736111111112e-06,0.030208333333333334,True,0.0,1.180799126625061,2.481175184249878,1.169130802154541,P0,-1.231251835823059,1.180799126625061,2.481175184249878,1.140620470046997,0.530522346496582,0.5549355149269104,0.46455758810043335,0.45262905955314636,final_development,49,S1,524288
0.0,0.026851851851851852,True,0.0,1.1889344453811646,2.4744465351104736,1.1755666732788086,P1,-0.6564955711364746,1.1889344453811646,2.4744465351104736,1.1612130403518677,0.532176673412323,0.55607670545578,0.466422975063324,0.4067704677581787,final_development,49,S1,524288
0.0,0.015393518518518518,True,0.0,1.2506484985351562,2.0052719116210938,1.3364791870117188,P0,-0.08234620094299316,1.2506484985351562,2.0052719116210938,1.3338704109191895,0.0,0.0,0.0,0.46724647283554077,final_development,50,S0,524288
0.0,0.0026041666666666665,True,0.2743491530418396,1.1129522323608398,1.7306263446807861,1.121788740158081,P1,0.2743491530418396,1.1129522323608398,1.7306263446807861,1.1215146780014038,0.0,0.0,0.0,0.4028317630290985,final_development,50,S0,524288
0.0,0.01712962962962963,True,0.0,1.2518311738967896,1.942484736442566,1.1803866624832153,P0,-0.26750484108924866,1.2518311738967896,1.942484736442566,1.1750853061676025,0.0,0.5460658669471741,0.0,0.45132002234458923,final_development,50,S_CUM,524288
0.0,0.008680555555555556,True,0.013251922093331814,1.516082763671875,2.171776294708252,1.4363163709640503,P1,0.013251922093331814,1.516082763671875,2.171776294708252,1.4350465536117554,0.0,0.6029165983200073,0.0,0.430905282497406,final_development,50,S_CUM,524288
0.0,0.036516203703703703,True,0.0,1.159026861190796,3.8828723430633545,1.201136827468872,P0,-1.0828312635421753,1.159026861190796,3.8828723430633545,1.1764148473739624,0.5397148728370667,0.0,0.0,0.45536044239997864,final_development,50,S_CONC,524288
0.0,0.03709490740740741,True,0.0,1.1670310497283936,3.2567386627197266,1.1861798763275146,P1,-1.7946078777313232,1.1670310497283936,3.2567386627197266,1.1450536251068115,0.5355432629585266,0.0,0.0,0.40830686688423157,final_development,50,S_CONC,524288
0.0,0.02476851851851852,True,0.0,1.1751569509506226,2.892819881439209,1.1740390062332153,P0,-0.6875988245010376,1.1751569509506226,2.892819881439209,1.1594290733337402,0.5317518711090088,0.5568102598190308,0.0,0.45296043157577515,final_development,50,S_CORE,524288
9.042245370370371e-07,0.029513888888888888,True,0.0,1.18049156665802,3.2624402046203613,1.2044702768325806,P1,-1.063218355178833,1.18049156665802,3.2624402046203613,1.1813322305679321,0.5397037267684937,0.5642894506454468,0.0,0.4086807072162628,final_development,50,S_CORE,524288
9.042245370370371e-07,0.021643518518518517,True,0.0,0.9075033664703369,1.5006568431854248,0.9188312888145447,P0,-0.3150634169578552,0.9075033664703369,1.5006568431854248,0.9126558899879456,0.45951202511787415,0.4826506972312927,0.3929307162761688,0.43137073516845703,final_development,50,S1,524288
2.2605613425925925e-06,0.02679398148148148,True,0.0,0.8784623742103577,1.4680842161178589,0.897776186466217,P1,-0.7162959575653076,0.8784623742103577,1.4680842161178589,0.882369875907898,0.4530181586742401,0.4760802090167999,0.386827290058136,0.3802467882633209,final_development,50,S1,524288
0.0,0.022858796296296297,True,0.0,1.135646939277649,1.7139989137649536,1.149986982345581,P0,-0.4169553816318512,1.135646939277649,1.7139989137649536,1.1415188312530518,0.0,0.0,0.0,0.45353615283966064,final_development,51,S0,524288
0.0,0.00028935185185185184,True,0.35621100664138794,1.194406509399414,1.7363642454147339,1.218892216682434,P1,0.35621100664138794,1.194406509399414,1.7363642454147339,1.218885064125061,0.0,0.0,0.0,0.4096629023551941,final_development,51,S0,524288
