row_type,profile,contrast,formula,seed,delta,seed_sd,favorable_seed_count,favorable,seed_values
summary,P0,cumulative_given_concentrations,S_CORE-S_CONC,mean,0.7804452491656061,1.6599369304253035,3,,"[-0.02472609102729484, -0.2634418799018614, 0.6638928573052301, 3.6787354405544312, -0.15223408110247405]"
summary,P0,concentration_given_cumulative,S_CORE-S_CUM,mean,-1.7556416376511959,1.5156562552836028,4,,"[-2.3127989841622623, -2.680319334315664, -2.2738004279749306, 0.9406639459150048, -2.451953387718127]"
summary,P0,group_interaction,S_CORE-S_CONC-S_CUM+S0,mean,2.6868653256209023,1.4575625382919972,0,,"[1.574333022805063, 4.434391366194765, 2.2037799794728175, 4.018296878900488, 1.203525380731377]"
summary,P0,redundant_recent,S1-S_CORE,mean,0.7552310774505018,3.7782255807391523,2,,"[-0.1921343293991029, 0.6173608152491354, 6.822635586293211, -3.6012010425392793, 0.12949435764854433]"
summary,P0,original_full_state,S1-S0,mean,-2.9068306366559895,3.6016103399368533,4,,"[-4.103992427393722, -6.760791765163155, 3.0089480361506933, -3.0000985349703306, -3.6782184919034338]"
summary,P0,cumulative_main,0.5*((S_CUM-S0)+(S_CORE-S_CONC)),mean,-0.562987413644845,1.4812015013907602,4,,"[-0.8118926024298261, -2.4806375629992443, -0.43799713243117866, 1.6695870011041876, -0.7539967714681626]"
summary,P0,concentration_main,0.5*((S_CONC-S0)+(S_CORE-S_CUM)),mean,-3.099074300461647,1.3634752120290248,5,,"[-3.0999654955647937, -4.897515017413046, -3.3756904177113394, -1.0684844935352389, -3.0537160780838155]"
summary,P1,cumulative_only,S_CUM-S0,mean,-2.2284583571668835,3.635877056964178,4,,"[-1.5310008158094144, -8.290173430364455, 1.5578561579311536, -1.6217525251069898, -1.2572211724847122]"
summary,P1,concentration_only,S_CONC-S0,mean,-5.346493872000112,3.1120843520156063,5,,"[-3.7969955276083485, -10.910762986414374, -3.959753977807018, -4.063458129381546, -4.001498738789275]"
summary,P1,combined_core,S_CORE-S0,mean,-5.352224268949343,2.95634894226506,5,,"[-3.876960674597273, -10.62200257105763, -3.8438231109845233, -4.45876578422763, -3.9595692038796604]"
summary,P1,cumulative_given_concentrations,S_CORE-S_CONC,mean,-0.005730396949231054,0.25547945549683837,2,,"[-0.07996514698892465, 0.28876041535674446, 0.11593086682249476, -0.39530765484608477, 0.04192953490961493]"
summary,P1,concentration_given_cumulative,S_CORE-S_CUM,mean,-3.12376591178246,1.2923675446446319,5,,"[-2.3459598587878587, -2.3318291406931757, -5.401679268915677, -2.8370132591206407, -2.702348031394948]"
summary,P1,group_interaction,S_CORE-S_CONC-S_CUM+S0,mean,2.222727960217653,3.750737282229811,1,,"[1.4510356688204897, 8.578933845721199, -1.4419252911086584, 1.226444870260905, 1.2991507073943271]"
summary,P1,redundant_recent,S1-S_CORE,mean,1.7430894054999755,3.5668458205564093,1,,"[-0.16276250000212755, 0.10293140934522604, 8.11286526712149, 0.38730930780920536, 0.27510354322608155]"
summary,P1,original_full_state,S1-S0,mean,-3.6091348634493685,5.249231255491514,4,,"[-4.0397231745994, -10.519071161712404, 4.269042156136967, -4.071456476418425, -3.684465660653579]"
summary,P1,cumulative_main,0.5*((S_CUM-S0)+(S_CORE-S_CONC)),mean,-1.1170943770580573,1.7678880967675976,4,,"[-0.8054829813991695, -4.000706507503855, 0.8368935123768242, -1.0085300899765373, -0.6076458187875486]"
summary,P1,concentration_main,0.5*((S_CONC-S0)+(S_CORE-S_CUM)),mean,-4.235129891891285,1.4699094877503267,5,,"[-3.0714776931981036, -6.621296063553775, -4.680716623361348, -3.450235694251093, -3.3519233850921113]"
